activity_type,id_site
dataplus,547048
dataplus,547050
dataplus,547047
dataplus,547049
forumng,546658
forumng,546655
forumng,546652
forumng,546649
forumng,546645
forumng,546657
forumng,546654
forumng,546651
forumng,546648
forumng,546644
forumng,546659
forumng,546656
forumng,546653
forumng,546650
forumng,546647
glossary,546661
glossary,546660
homepage,546614
oucollaborate,547066
oucollaborate,547067
oucontent,546712
oucontent,546678
oucontent,546708
oucontent,546675
oucontent,546705
oucontent,546671
oucontent,546702
oucontent,546668
oucontent,546699
oucontent,546739
oucontent,546665
oucontent,546695
oucontent,546736
oucontent,546692
oucontent,546733
oucontent,546689
oucontent,546728
oucontent,546686
oucontent,546723
oucontent,546717
oucontent,546683
oucontent,546714
oucontent,546680
oucontent,546711
oucontent,546677
oucontent,546707
oucontent,546674
oucontent,546704
oucontent,546670
oucontent,546701
oucontent,546667
oucontent,546697
oucontent,546738
oucontent,546664
oucontent,546694
oucontent,546735
oucontent,546691
oucontent,546732
oucontent,546688
oucontent,546726
oucontent,546685
oucontent,546721
oucontent,546716
oucontent,546682
oucontent,546713
oucontent,546679
oucontent,546709
oucontent,546676
oucontent,546706
oucontent,546672
oucontent,546703
oucontent,546669
oucontent,546700
oucontent,546740
oucontent,546666
oucontent,546696
oucontent,546737
oucontent,546662
oucontent,546693
oucontent,546734
oucontent,546690
oucontent,546731
oucontent,546687
oucontent,546725
oucontent,546719
oucontent,546684
oucontent,546715
oucontent,546681
subpage,546876
subpage,546872
subpage,546874
subpage,546871
subpage,546879
subpage,546873
url,546888
url,546897
url,546884
url,546891
url,546903
url,546899
url,546887
url,546896
url,546883
url,546890
url,546905
url,546901
url,546889
url,546898
url,546885
url,546894
url,546904
url,546900
resource,546943
resource,546998
resource,547035
resource,546933
resource,546995
resource,547031
resource,546927
resource,546991
resource,547027
resource,546923
resource,546988
resource,547024
resource,546920
resource,546985
resource,547021
resource,546917
resource,546982
resource,547018
resource,546972
resource,547014
resource,546914
resource,546968
resource,547011
resource,546910
resource,546961
resource,547007
resource,546906
resource,546954
resource,547004
resource,547042
resource,546948
resource,547001
resource,547037
resource,546942
resource,546997
resource,547034
resource,546930
resource,546994
resource,547030
resource,546925
resource,546990
resource,547026
resource,546922
resource,546987
resource,547023
resource,546919
resource,546984
resource,547020
resource,546975
resource,547017
resource,546916
resource,546971
resource,547013
resource,546913
resource,546966
resource,547009
resource,546909
resource,546960
resource,547006
resource,546952
resource,547003
resource,547040
resource,546947
resource,547000
resource,547036
resource,546935
resource,546996
resource,547032
resource,546928
resource,546992
resource,547028
resource,546924
resource,546989
resource,547025
resource,546921
resource,546986
resource,547022
resource,546918
resource,546983
resource,547019
resource,546974
resource,547015
resource,546915
resource,546970
resource,547012
resource,546911
resource,546965
resource,547008
resource,546907
resource,546955
resource,547005
resource,547043
resource,546949
resource,547002
resource,547038
